Job_Description,CV_Text,Label
"חווט /ת o עבודה בהתאם לתוכנית לוח חשמל הכוללת בתוכנה תוכנית חשמלית מלאה.o עבודה עם כלי עבודה ידניים, הכוללים: מברגים, קטר וכו`o הרכבת לוח ואביזרי חשמל בהתאם לתוכנית חשמל בצורה עצמאית.o אישור עבודת ההרכבה בשלב ה  QA - מסירת העבודה ללא הערות.דרישות: ניסיון בתפקיד חווט - חובה רקע טכני - חובה היקף המשרה הינו ימים א` - ה`שעות העבודה במפעל הינם 8:00-17:00. המשרה מיועדת לנשים ולגברים כאחד.",טכנאי/ת תמיכה טכנית עם ניסיון בפתרון תקלות מחשוב ותקשורת.,1
"רכז /ת פרויקט ERC- בית הספר לרוקחות טיפול אדמיניסטרטיבי שוטף בפרויקט מחקר למעבדה העוסקת בתחום הפסיכיאטריה הביולוגית ובכלל זה: עבודה משרדית שוטפת:  ניהול יומן, הדפסת מכתבים. טיפול בהזמנות עבודה ורכש עבור החוקרים ובקרת מלאי.  ניהול קשר שוטף עם גורמי חוץ לרבות תיאום ביקורי אורחים מחו""ל. סיוע בניהול תקציבי המחקר, מעקב אחריהם ובדיקת דו""חות כספיים. סיוע לחוקרים בהגשת הצעות מחקר לקרנות שונות בארץ ובעולם. ארגון ומעקב אחר נסיעות חוקרים לכנסים בארץ ובחו""ל ובכלל זה: טיפול בהכנת ביטוח רפואי, אש""ל, החזר הוצאות נסיעה וכו'. סיוע בארגון כנסים וימי עיון.  ניהול קופה קטנה. ביצוע משימות נוספות בהתאם להוראות הממונים.דרישות: תואר אקדמי/*סטודנטים לפי שעות באוניברסיטה העברית הנמצאים בשנתם האחרונה לתואר. ידע וניסיון בהנהלת חשבונות - יתרון. ניסיון בעבודה עם מערכות הכספים הממוחשבות באוניברסיטה - יתרון. שליטה מלאה ביישומי Office ואינטרנט. ידיעת השפה ה",סטודנט/ית לעבודה סוציאלית המחפש/ת עבודה חלקית במסגרת רווחה.,1
"מנהל /ת סניף רחובות לחברת שירותי סיעוד בפריסה ארצית דרוש/ה  מנהל /ת לסניף רחובות.המשרה משלבת עבודת שטח ומשרד.במסגרת התפקיד:- ביקורי בית שגרתיים וראשוניים.- טיפול באירועים חריגים (הזנחה, אלימות, קשר בעייתי במשפחה).- גיוס והשמת מטפלות.- בקרה על עבודת הצוות.- הטמעת תהליכים ארגוניים.- קשר עם ביטוח לאומי, קופות חולים וכו'.- פיתוח הסניף וצמיחתו.דרישות: - תואר בעבודה סוציאלית/סיעוד/גרונטולוגיה- יתרון משמעותי.- ניסיון ניהולי - חובה.- ניסיון קודם מחברות סיעוד - חובה.- ניסיון קודם בעמותה/ארגון חברתי- יתרון.התפקיד דורש תודעת שירות גבוהה, יחסי אנוש מעולים, יכולת עמידה ביעדים, יכולות שיווק, יכולת הנעת עובדים, חיבור ורצון להשתלבות בתחום הזקנה.משרה מלאה א-ה. המשרה מיועדת לנשים ולגברים כאחד.",איש/אשת תחזוקה עם ניסיון בתיקונים כלליים ובעבודות אחזקה שוטפת.,0
"50 ש""ח, שירות לקוחות בחברת הביטוח המובילה בישראל! משמרות בוקר בלבד לחברת הביטוח המובילה בישראל, דרושים/ות נציגי/ות שירות לקוחות- ללא מכירות! משמרות בוקר בלבד50 ש""ח לשעה, קרן השתלמות, ארוחות, נופשים בחו""ל, תחרויות ופרסים שווים, אופציות קידום ועוד המון הטבות מענה ללקוחות בנושאי זכאויות, עדכונים ושינויים בפוליסה, סטאטוס תביעה ועודא' -ה, 8:00-16:30דרישות: * תודעת שירות גבוהה* מוטיבציה גבוהה המשרה מיועדת לנשים ולגברים כאחד.",נציג/ת שירות ומכירה עם ניסיון במתן מענה פרונטלי וטלפוני ללקוחות.,1
"לרשת פאלאס מקבוצת עריאלי דרוש /ה פיזיותרפיסט /ית לפאלאס מודיעין, דיור מוגן יוקרתי מרשת פאלאס עזריאלי, דרוש/ה פיזיותרפיסט/ית מקצועי/ת ואנושי/ת להצטרפות לצוות הרפואיטיפול פיזיותרפי לדיירי הדיור המוגן.בניית תוכניות טיפול אישיות וקבוצתיות.עבודה בשיתוף פעולה עם הצוות הרב-מקצועי.קידום איכות חיים, תפקוד ועצמאות הדיירים.אם את/ה בעל/ת יכולות תקשורת מעולות, חושב/ת מחוץ לקופסה ומונע/ת להצלחה, אנחנו רוצים לשמוע ממך! זו הזדמנות מצוינת להצטרף לצוות מוביל ולהתפתח בעולם המכירות המרתק. העבודה במשרה מלאה.דרישות: תואר בפיזיותרפיה ורישיון משרד הבריאות - חובה.ניסיון בעבודה עם הגיל השלישי - יתרון משמעותי.גישה טיפולית, סבלנות ויחסי אנוש מצוינים.אחריות, מקצועיות ויכולת עבודה עצמאית. המשרה מיועדת לנשים ולגברים כאחד.",טכנאי/ת אחזקה עם ניסיון בתחזוקת מבנים ומערכות.,0
"חבר /ת צוות פדגוגיה דיגיטלית בסמינר הקיבוצים - ליוויי והדרכה פרטנית וקבוצתית לסגל אקדמי במכללה- הובלת דגמי הוראה חדשניים תוך שילוב טכנולוגיות מתקדמות- פיתוח והפקת חומרי  הדרכה וקורסים מקוונים- קידום ויישום של פרויקטים חדשניים בתחום הפדגוגיה הדיגיטליתמה אנחנו מציעים:- סביבת עבודה המאפשרת Work Life Balance- יום עבודה מהבית לאחר סיום תקופת ההכשרה- הסכם אישי הכולל הטבות של קרן השתלמות והסדרי עבודה- ימי גיבוש, פעילויות העשרה, הרצאות ""שומע חופשי"", ארועי תרבות, סיורים והכשרות- השתלבות בצוות קיים ומקצועי וליווי אישי מצוות מנוסה.דרישות: - ניסיון משמעותי בשילוב כלים דיגיטליים לצרכי הוראה ולמידה- חובה- ניסיון בעבודה עם כלי AI- הכרות מעמיקה עם צרכי הוראה ולמידה במוסדות להשכלה גבוהה- יכולת הנחיה, יצירתיות, חשיבה חדשנית ופרו-אקטיבית- כישורי תקשורת בינאישיים מצוינים ויכולת עבודה בצוות- בעל/ת תואר שני רלוונטי- יתרון לתחום החינוך, טכנולוגית למידה- של","מפתח/ת תוכנה עם ניסיון ב-Python ו-SQL, זמין/ה למשרה חלקית או פרויקטלית.",0
"לבית חינוך אופק בקיבוץ עברון דרושים /ות אנשי /נשות חינוך, במגוון מקצועות לימוד לשנת הלימודים תשפ""ז לבית חינוך אופק בקיבוץ עברון דרושים /ות מורים /ות למקצועות הבאים:עבריתמתמטיקה היסטוריהספרות אנגלית תנ""ך תחומי מדעיםחינוך מיוחד ותרפיסטים/תיותמורה לצילוםאם אתם רואים את עצמכם משתלבים בהוראה משמעותית בסביבה תומכת ומתקדמתמקומכם איתנו!דרישות: המשרות מיועדות למורים בעלי/ות ניסיון ולמורים/ות בשנת סטג' העומדים /ות בקריטריונים של משרד החינוך (השלימו לפחות 80% מתעודת ההוראה ותואר ראשון)* המשרה מיועדת לנשים ולגברים כאחד.","סטודנטית לחינוך המחפשת עבודה בצהרון או בבית ספר, זמינה אחר הצהריים.",1
לפנימיות לילדים ונוער בסיכון מחפשים מורים.ות פרטיים.ות לפנימיות לילדים ונוער בסיכון מחפשים מורים.ות פרטיים.ות לשיעורי עזר ותגבור לימודי במגוון מקצועות!מיקום המשרה- פרדס חנה/ זכרון יעקבדרישות: זמינות בשעות אחר הצהריים המשרה מיועדת לנשים ולגברים כאחד.,איש/אשת תחזוקה עם ניסיון בתיקונים כלליים ובעבודות אחזקה שוטפת.,0
למכללה בתל אביב דרוש /ה רכז /ת שירות ואדמיניסטרציה בואו לקחת חלק:בליווי תהליך משמעותי של אנשיםבמתן שירות ומענה לסטודנטים ולסגל המרציםביצוע גביית תשלום שכר לימוד מסטודנטיםטיפול בפרויקטים שונים במכללהדרישות: ניסיון בתפקידי שירות לקוחות ואדמיניסטרציהיכולת עבודה עצמאית וניהול ייעל של הזמןשליטה בתוכנות אופיס - חובהנכונות לעבודה בשעות הערב - חובה* משרה זו פונה לנשים וגברים כאחד. המשרה מיועדת לנשים ולגברים כאחד.,נציג/ת תמיכה עם ניסיון בפתרון תלונות לקוחות ומענה מהיר.,1
"דרוש /ה חשב /ת חברה לקבוצת אביבי מטבחים, המובילה ביצור ואספקת מטבחים בטכנולוגיות מתקדמות, עם מפעלים חדשניים, אולמות תצוגה מפוארים וקהל לקוחות רחב דרוש/ה חשב/ת להצטרפות למחלקת הכספים. מה התפקיד כולל? אחריות על סגירות חודשיות והכנת דו""חות רווח והפסד תקופתיים עבודה שוטפת מול משרד רו""ח חיצוני עבודה שוטפת מול הנהלת חשבונות, ספקים, בנקים העבודה בצמוד לסמנכ""לית הכספים תפקיד מגוון ומעניין בסביבה מקצועית ונעימה. מיקום המשרה: בני דרום (אין תחבורה ציבורית לאזור)דרישות: דרישות התפקיד:  רואה/ת חשבון מוסמך/ת - חובה ניסיון בהכנת דו""חות רווח והפסד חודשיים ודו""חות כספיים שנתיים -חובה שליטה מעולה בתוכנות Office וExcel בפרט. ניסיון עבודה עם מערכות  ERP (יתרון - Priority) גישה אנליטית, ראייה רחבה ויכולת עבודה עצמאית לצד עבודה בצוות. המשרה מיועדת לנשים ולגברים כאחד.","מלצר/ית עם ניסיון במסעדות ובבתי מלון, תודעת שירות גבוהה.",1
"נציגי /ות קבלה והזמנות למלון בוטיק וספא ברחובות עם אנרגיות חיוביות - שכר מעולה ובונוסים שווים! עבודה במשמרות - בוקר/ערב/לילה, המשמרות דינמיות בין מחלקת הקבלה וההזמנותשכר שעתי: 38-45 בסיס לשעה + בונוסים שווים מאוד על המכירותארוחת צהריים חלבית ותפריט עובדים משתלם במסעדהמוגדר כעבודה מועדפתעובד חברה מהיום הראשון יש אפשרות למשרת סטודנט או לילות בלבדדרישות: זמינות למשמרות לילה, שבתות וחגיםאנגלית שיחתית - חובהאנרגיות טובות וחיוך - חובהנסיון במכירות - יתרון המשרה מיועדת לנשים ולגברים כאחד.","טבח/ית עם ניסיון במטבחים מקצועיים, זמין/ה למשמרות ערב ולילה.",1
"מיישם /ת  הגנת סייבר לצוות אבטחת מידע לארגון ממשלתי מוביל ויציב | ירושלים ארגון ממשלתי גדול ומרכזי בירושלים מגייס  מיישם /ת  הגנת סייבר מנוסה להצטרפות לצוות אבטחת מידע, לתפקיד משמעותי בליבת מערך ההגנה והאבטחה של הארגון.מה בתפקיד?יישום, תפעול ותחזוקה של מערכות  הגנת סייבר קריטיות, ביניהן:- אנטי-וירוס, Firewall, IPS, DLP, בקרת גישה והגנת התקנים ניידים- יישום וניהול תהליכי אבטחה שוטפים:  -  ניהול משתמשים והרשאות -  ניהול סיסמאות וגישה למידע ולמערכות - אבטחת תחנות קצה והתקנים ניידים- זיהוי וטיפול ראשוני באירועי אבטחת מידע- עבודה שוטפת מול סביבות מורכבות הכוללות רשתות, תקשורת ומערכות הפעלה- עבודה עם מגוון רחב של מוצרי אבטחה - קונפיגורציה, עדכונים, תחזוקה וניהול- שיתוף פעולה עם גורמים טכנולוגיים ועמידה בנהלי אבטחת מידע מחמיריםדרישות: דרישות חובה:ניסיון של מעל 5 שנים ביישום/תפעול  הגנת סייבר היכרות מעמיקה עם מוצרי אבטחת מידע ותהליכי אבטחה ארגונייםהבנה רחבה בתשתיות: רשת","מורה בהכשרה עם רקע במתמטיקה, מחפש עבודה חלקית כמורה פרטי או בצהרון.",0
"מנהל /ת סניף חיפה לחברת סיעוד מובילה כולל רכב צמוד לחברת סיעוד בפריסה ארצית דרוש/ה  מנהל /ת סניף חיפה למשרה מלאה.ביקורי בית, טיפול באירועים חריגים, גיוס, בקרה על הצוות, הטמעת תהליכים והגעה ליעדים.דרישות: תואר ראשון בעבודה סוציאלית/סיעוד/גרונטולוגיה- חובהניסיון ניהולי- חובה המשרה מיועדת לנשים ולגברים כאחד.","עוזר/ת רפואי/ת עם ניסיון במרפאה, אחראי/ת ומדויק/ת בתיעוד.",1
"דרוש /ה רכז /ת פדגוגי /ת אם את/ה בעל/ת רקע חינוכי, גישה מערכתית וניסיון בהובלת תהליכים מקצועיים - מקומך איתנו!תחומי אחריות:  ניהול וליווי פדגוגי של צוותי הוראה/  הדרכה - כולל הכשרה, ליווי ובקרה. פיתוח תכנים ומודלים של  הדרכה או למידה בהתאם לאופי התכנית. עבודה שוטפת מול שותפים מקצועיים וקהילתיים - לרבות התאמה לצרכים משתנים. אחריות על איכות התכנים, דרכי ההעברה, מדדי הצלחה ובקרה מקצועית. מתן מענה מקצועי לצוותים בנושאים פדגוגיים ויישום מתודולוגיות עבודה בשטח. הכנת דיווחים, מסמכים מקצועיים ומענים לצורכי הערכה ובקרה.דרישות: דרישות וכישורים: תואר ראשון המוכר ע""י המל""ג- חובה  3 שנים ניסיון בהנחיית קבוצות. ניסיון של שנתיים לפחות בניהול פדגוגי או ריכוז  הדרכה בתכנית חינוכית. הבנה מערכתית ויכולת  ניהול תהליכים מקצועיים. יכולת הובלה של צוותים ושותפים מקצועיים. שליטה ביישומי מחשב ונכונות לעבודת שטח. יחסי אנוש מעולים, חשיבה חינ",סטודנט/ית לעבודה סוציאלית המחפש/ת עבודה חלקית במסגרת רווחה.,0
"מנהל /ת פרויקט דיגיטלי לארגון מוביל הובלת פרויקטים טכנולוגיים משלב הייזום ועד העלייה לאוויר  ניהול ישיר או מטריציוני של צוות הכולל כ-10 אנשי צוות (מפתחים, בודקים,  מיישמים )  ניהול תקציב, לוז, סיכונים ובקרות עד למסירה מלאהעבודה שוטפת מול גורמים עסקיים, טכנולוגיים והנהלה בכירההצגת סטטוסים, המלצות ותמיכה בקבלת החלטותדרישות: ניסיון של 5-7 שנים לפחות בניהול פרויקטים טכנולוגיים מלאיםניסיון בניהול פרויקטים בהיקף של מעל 2 מיליון לפרויקטאו פרויקטים המשרתים מעל 10,000 משתמשי קצה פעיליםהיכרות עם Jira / TFS ומתודולוגיות Agile/Waterfall - יתרוןניסיון בהובלת פרויקטי טרנספורמציה דיגיטלית מרובי  ממשקים - יתרון המשרה מיועדת לנשים ולגברים כאחד.","סטודנט/ית המחפש/ת עבודה בהפקת אירועים, אחראי/ת ובעל/ת יכולת עבודה בצוות.",0
"אנליסט /ית עסקי /ת בתחום הקמעונאות לחברה מובילה דרוש/ה אנליסט/ית עסקי/ת לתפקיד הכולל אחריות נרחבת על ניתוח ביצועים מסחריים, בקרה תקציבית והובלת תהליכים חוצי ארגון. התפקיד מצריך ראייה אנליטית רחבה, עבודה עצמאית ויכולת הנעת  ממשקים.תחומי אחריות:ניתוח נתוני מכר, רווחיות ומלאי והפקת דוחות שוטפיםביצוע אנליזות וזיהוי טרנדים עסקיים לצורך קבלת החלטותשיפור תהליכים מסחריים בשיתוף צוותים חוצי ארגוןבניית דוחות מורכבים ודשבורדים באקסל ובמערכות  BI הכנת מצגות והצגת תובנות לדרג הנהלה בכירהשתתפות בהכנת התקציב השנתי ובקרה על ביצוע בפועלהזדמנות להשתלב בתפקיד אנליטי משמעותי בסביבה עסקית דינמית ומתפתחת!דרישות: תואר ראשון בכלכלה /  מנהל עסקים / הנדסת תעשייה וניהול - חובהניסיון של שנתיים לפחות כאנליסט/ית בחברה קמעונאית - חובהשליטה גבוהה ב-Excel ובמערכות  BI אנגלית ברמה גבוההיכולת עבודה עצמאית ובתנאי לחץ, תוך  ניהול  ממשקים מרוביםבלחיצה על שליחת ","עוזר/ת רפואי/ת עם ניסיון במרפאה, אחראי/ת ומדויק/ת בתיעוד.",0
"מתאם /ת שירות אישי /ת (מזכירות רפואית) למכון CT, בי""ח משגב לדך, ירושלים מתן שירות ומענה פרונטלי וטלפוני למבוטחי הקופה תוך סגירת מעגל הטיפול ובהתאם לצרכיהםשותפות בהשגה ובמימוש יעדי המרפאה מסייע/ת ללקוחות מאוחדת בקבלת טיפול אדמיניסטרטיבי ורפואי מיטבי באמצעות הנגשת הידע והשירות ? בוא/י ליהנות מאיזון בית עבודה, קרבה לבית, אופציות קידום והתפתחות אישית ומקצועית? עבודה עם שליחות? הכשרה וליווי אישי? הזדמנות להיות חלק מצוות ועבודה באווירה משפחתית? תנאים סוציאליים משופרים: קרן השתלמות מהיום הראשון, 22 ימי חופשה שנתיים למשרה מלאה, מחלה מהיום הראשון, דמי הבראה מורחבים, מענק ביגוד, תגמול על שעות נוספות**התנאים המוצגים הינם למשרה מלאה ואינם נכללים בתקן זמנידרישות: תעודת בגרות או מכינה קדם אקדמאית או תעודת סיום סמינר לבנותבוגר/ת קורס מזכירות רפואית או תואר ראשון או במהלך לימודי תואר ראשון או במהלך קורס מזכירות רפואית בתנאי שצפוי/ה לסיים את הקורס תוך 3 חודשים ממועד גיוסו/ה למ","מטפל/ת סיעודי/ת עם ניסיון בטיפול בקשישים, סבלני/ת ואחראי/ת.",1
"דרוש /ה  מנהל /ת אולם בסניף יבנה! הצטרפו אלינו כמנהל/ת אולם ברשת קמעונאות! נדרש מנהיגות, יכולת ארגון מצוינת ומוטיבציה גבוהה להצטרף לצוות מנהיגותי ומקצועי.במסגרת התפקיד: אחריות על מנהלי המחלקות בסניף  פיקוח סידור הסחורה במדפים, הקפדה על מילוי מלא באופן שוטף וביצוע נוהל FIFO אחריות לביצוע הזמנות מול ספקי הסחורה השונים, תוך תיאום עם מנהלי המחלקות ומנהל המחסן פיקוח על ביצוע שינויי מחירים ייזום מבצעים מקומיים בשיתוף עם הספקים והנהלת הסניף תצוגות ופלנוגרמות ונראות החנות  ביצוע דרישות מחלקת הסחר ברשת ומעקב אחר מבצעים קיימים ועתידיים בסניףדרישות: ידע וניסיון ניהולי ברשת קמעונאות מזון - חובה יחסי אנוש מעולים ויכולת ארגון ועבודת צוות מוטיבציה רבה ונכונות לעבודה מאתגרת משרה מלאה, ימים א'-ו' עבודה במשמרת בוקר המשרה מיועדת לנשים ולגברים כאחד.","מעצב/ת גרפי/ת עם ניסיון ב-Photoshop ו-Illustrator, יצירתי/ת ומדויק/ת.",0
